Team,Year,Payroll,Payroll_prev_year,Attendance,Attendance_prev_year,Wins,Wins_prev_year,Avg_payroll,Avg_payroll_prev_year
Arizona Diamondbacks,2015,98.66,65.77,2080145,2073730,79,64,131.26,121.94
Atlanta Braves,2015,84.82,89.62,2001392,2354305,67,79,131.26,121.94
Baltimore Orioles,2015,147.94,118.86,2320590,2464473,81,96,131.26,121.94
Boston Red Sox,2015,199.86,168.69,2880694,2956089,78,71,131.26,121.94
Chicago Cubs,2015,167.44,117.16,2959812,2652113,97,73,131.26,121.94
Chicago White Sox,2015,116,110.71,1755810,1650821,76,73,131.26,121.94
Cincinnati Reds,2015,93.17,117.73,2419506,2476664,64,76,131.26,121.94
Cleveland Indians,2015,98.01,87.75,1388905,1437393,81,85,131.26,121.94
Colorado Rockies,2015,113.24,98.26,2506789,2680329,68,66,131.26,121.94
Detroit Tigers,2015,199.53,172.79,2726048,2917209,74,90,131.26,121.94
Houston Astros,2015,96.64,69.06,2153585,1751829,86,70,131.26,121.94
Kansas City Royals,2015,137.61,112.91,2708549,1956482,95,89,131.26,121.94
Los Angeles Angels,2015,166.83,146.45,3012765,3095935,85,98,131.26,121.94
Los Angeles Dodgers,2015,253.64,230.35,3764815,3782337,92,94,131.26,121.94
Miami Marlins,2015,70.46,84.64,1752235,1732283,71,77,131.26,121.94
Milwaukee Brewers,2015,62.96,98.68,2542558,2797384,68,82,131.26,121.94
Minnesota Twins,2015,104.59,108.26,2220054,2250606,83,70,131.26,121.94
New York Mets,2015,130.61,100.13,2569753,2148808,90,79,131.26,121.94
New York Yankees,2015,227.85,213.47,3193795,3401624,87,84,131.26,121.94
Oakland Athletics,2015,85.82,80.79,1768175,2003628,68,88,131.26,121.94
Philadelphia Phillies,2015,103.35,133.05,1831080,2423852,63,73,131.26,121.94
Pittsburgh Pirates,2015,99.96,85.89,2498596,2442564,98,88,131.26,121.94
San Diego Padres,2015,100.55,126.62,2459752,2195373,74,77,131.26,121.94
San Francisco Giants,2015,171.46,166.5,2193581,3368697,84,88,131.26,121.94
Seattle Mariners,2015,145,123.23,3375882,2064334,76,87,131.26,121.94
St. Louis Cardinals,2015,149.19,120.3,3520889,3540649,100,90,131.26,121.94
Tampa Bay Rays,2015,64.12,74.85,1247668,1446464,80,77,131.26,121.94
Texas Rangers,2015,161.25,144.82,2491875,2718733,88,67,131.26,121.94
Toronto Blue Jays,2015,140.58,116.42,2794891,2375525,93,83,131.26,121.94
Washington Nationals,2015,146.69,174.51,2619843,2579389,83,96,131.26,121.94
Arizona Diamondbacks,2014,65.77,112.69,2073730,2134795,64,81,121.94,115.13
Atlanta Braves,2014,89.62,110.9,2354305,2548679,79,96,121.94,115.13
Baltimore Orioles,2014,118.86,107.41,2464473,2357561,96,85,121.94,115.13
Boston Red Sox,2014,168.69,162.82,2956089,2833333,71,97,121.94,115.13
Chicago Cubs,2014,117.16,89.01,2652113,2642682,73,66,121.94,115.13
Chicago White Sox,2014,110.71,91.16,1650821,1768413,73,63,121.94,115.13
Cincinnati Reds,2014,117.73,112.39,2476664,2534369,76,90,121.94,115.13
Cleveland Indians,2014,87.75,82.53,1437393,1572926,85,92,121.94,115.13
Colorado Rockies,2014,98.26,95.83,2680329,2793828,66,74,121.94,115.13
Detroit Tigers,2014,172.79,162.23,2917209,3083397,90,93,121.94,115.13
Houston Astros,2014,69.06,44.54,1751829,1651883,70,51,121.94,115.13
Kansas City Royals,2014,112.91,92.03,1956482,1750754,89,86,121.94,115.13
Los Angeles Angels,2014,146.45,155.69,3095935,3019505,98,78,121.94,115.13
Los Angeles Dodgers,2014,230.35,235.3,3782337,3743527,94,92,121.94,115.13
Miami Marlins,2014,84.64,47.57,1732283,1586322,77,62,121.94,115.13
Milwaukee Brewers,2014,98.68,103.84,2797384,2531105,82,74,121.94,115.13
Minnesota Twins,2014,108.26,85.78,2250606,2477644,70,66,121.94,115.13
New York Mets,2014,100.13,89.05,2148808,2135657,79,74,121.94,115.13
New York Yankees,2014,213.47,203.81,3401624,3279589,84,85,121.94,115.13
Oakland Athletics,2014,80.79,83.4,2003628,1809302,88,96,121.94,115.13
Philadelphia Phillies,2014,133.05,180.05,2423852,3012403,73,73,121.94,115.13
Pittsburgh Pirates,2014,85.89,78.11,2442564,2256862,88,94,121.94,115.13
San Diego Padres,2014,126.62,90.09,2195373,2166691,77,76,121.94,115.13
San Francisco Giants,2014,166.5,154.19,3368697,3326796,88,76,121.94,115.13
Seattle Mariners,2014,123.23,92.08,2064334,1761546,87,71,121.94,115.13
St. Louis Cardinals,2014,120.3,111.02,3540649,3369769,90,97,121.94,115.13
Tampa Bay Rays,2014,74.85,77.06,1446464,1510300,77,92,121.94,115.13
Texas Rangers,2014,144.82,136.04,2718733,3178273,67,91,121.94,115.13
Toronto Blue Jays,2014,116.42,132.63,2375525,2536562,83,74,121.94,115.13
Washington Nationals,2014,174.51,134.7,2579389,2652422,96,86,121.94,115.13
Arizona Diamondbacks,2013,112.69,90.16,2134795,2177617,81,81,115.13,106.25
Atlanta Braves,2013,110.9,89.29,2548679,2420171,96,94,115.13,106.25
Baltimore Orioles,2013,107.41,91.79,2357561,2102240,85,93,115.13,106.25
Boston Red Sox,2013,162.82,158.97,2833333,3043003,97,69,115.13,106.25
Chicago Cubs,2013,89.01,104.15,2642682,2882756,66,61,115.13,106.25
Chicago White Sox,2013,91.16,124.07,1768413,1965955,63,85,115.13,106.25
Cincinnati Reds,2013,112.39,110.57,2534369,2347251,90,97,115.13,106.25
Cleveland Indians,2013,82.53,82.52,1572926,1603596,92,68,115.13,106.25
Colorado Rockies,2013,95.83,75.45,2793828,2630458,74,64,115.13,106.25
Detroit Tigers,2013,162.23,149.05,3083397,3028033,93,88,115.13,106.25
Houston Astros,2013,44.54,24.33,1651883,1607733,51,55,115.13,106.25
Kansas City Royals,2013,92.03,80.49,1750754,1739859,86,72,115.13,106.25
Los Angeles Angels,2013,155.69,142.17,3019505,3061770,78,89,115.13,106.25
Los Angeles Dodgers,2013,235.3,216.3,3743527,3324246,92,86,115.13,106.25
Miami Marlins,2013,47.57,39.62,1586322,2219444,62,69,115.13,106.25
Milwaukee Brewers,2013,103.84,91,2531105,2831385,74,83,115.13,106.25
Minnesota Twins,2013,85.78,75.56,2477644,2776354,66,66,115.13,106.25
New York Mets,2013,89.05,88.88,2135657,2242803,74,74,115.13,106.25
New York Yankees,2013,203.81,229,3279589,3542406,85,95,115.13,106.25
Oakland Athletics,2013,83.4,68.58,1809302,1679013,96,94,115.13,106.25
Philadelphia Phillies,2013,180.05,159.58,3012403,3565718,73,81,115.13,106.25
Pittsburgh Pirates,2013,78.11,66.29,2256862,2091918,94,79,115.13,106.25
San Diego Padres,2013,90.09,71.69,2166691,2123721,76,76,115.13,106.25
San Francisco Giants,2013,154.19,142.18,3326796,3377371,76,94,115.13,106.25
Seattle Mariners,2013,92.08,84.3,1761546,1721920,71,75,115.13,106.25
St. Louis Cardinals,2013,111.02,116.7,3369769,3262109,97,88,115.13,106.25
Tampa Bay Rays,2013,77.06,57.03,1510300,1559681,92,90,115.13,106.25
Texas Rangers,2013,136.04,127.2,3178273,3460280,91,93,115.13,106.25
Toronto Blue Jays,2013,132.63,118.24,2536562,2099663,74,73,115.13,106.25
